year,fatalities,fatal_collisions,metric,grouping,variable,geography,population,fatality_rate,fatal_collision_rate
2011,41,39,1-year average for fatal collisions,All,County,Pierce County,806190,5.085649784790186,4.8375693074833475
2011,45,41,1-year average for fatal collisions,All,County,Snohomish County,718874,6.259789615426347,5.703363871832894
2012,100,90,1-year average for fatal collisions,All,County,King County,1956755,5.110501825726777,4.599451643154099
2012,30,20,1-year average for fatal collisions,All,County,Kitsap County,252907,11.86206787475238,7.908045249834919
2012,42,40,1-year average for fatal collisions,All,County,Pierce County,814214,5.158349033546464,4.912713365282346
2012,37,35,1-year average for fatal collisions,All,County,Snohomish County,725545,5.099614772343549,4.823959919784438
2013,84,78,1-year average for fatal collisions,All,County,King County,1983550,4.234831488997,3.9323435254972146
2013,9,7,1-year average for fatal collisions,All,County,Kitsap County,253217,3.5542637342674466,2.7644273488746807
2013,49,43,1-year average for fatal collisions,All,County,Pierce County,823032,5.953595971967068,5.224584220297631
2013,34,31,1-year average for fatal collisions,All,County,Snohomish County,735288,4.6240384720000876,4.216035077411844
2014,96,78,1-year average for fatal collisions,All,County,King County,2021027,4.750060241649418,3.8594239463401525
2014,15,15,1-year average for fatal collisions,All,County,Kitsap County,255971,5.860038832523997,5.860038832523997
2014,49,47,1-year average for fatal collisions,All,County,Pierce County,834544,5.871469928487893,5.63181809467206
2014,38,32,1-year average for fatal collisions,All,County,Snohomish County,746184,5.092577702014517,4.288486485906962
2015,126,102,1-year average for fatal collisions,All,County,King County,2061981,6.110628565442649,4.946699314882145
2015,24,18,1-year average for fatal collisions,All,County,Kitsap County,259034,9.265192986248909,6.948894739686683
2015,75,67,1-year average for fatal collisions,All,County,Pierce County,845324,8.87233770719866,7.925955018430804
2015,66,52,1-year average for fatal collisions,All,County,Snohomish County,760430,8.679299869810501,6.83823626106282
2016,103,95,1-year average for fatal collisions,All,County,King County,2118958,4.8608797342844925,4.483335677252687
2016,20,19,1-year average for fatal collisions,All,County,Kitsap County,263471,7.590968265957164,7.211419852659306
2016,83,71,1-year average for fatal collisions,All,County,Pierce County,862608,9.621983566115778,8.230853411978558
2016,50,42,1-year average for fatal collisions,All,County,Snohomish County,773899,6.460791395259588,5.427064772018054
2017,111,109,1-year average for fatal collisions,All,County,King County,2149910,5.163006823541451,5.069979673567731
2017,15,15,1-year average for fatal collisions,All,County,Kitsap County,265268,5.6546586848017855,5.6546586848017855
2017,58,54,1-year average for fatal collisions,All,County,Pierce County,877920,6.606524512484054,6.15090213231274
2017,50,42,1-year average for fatal collisions,All,County,Snohomish County,787096,6.352465264719933,5.336070822364743
2018,153,113,1-year average for fatal collisions,All,County,King County,2187460,6.994413612134622,5.165808746217073
2018,18,18,1-year average for fatal collisions,All,County,Kitsap County,269280,6.684491978609626,6.684491978609626
2018,72,56,1-year average for fatal collisions,All,County,Pierce County,891661,8.074817671738474,6.28041374468548
2018,48,42,1-year average for fatal collisions,All,County,Snohomish County,801223,5.990841501055261,5.241986313423354
2019,111,107,1-year average for fatal collisions,All,County,King County,2227755,4.982594585131668,4.803041627108906
2019,12,12,1-year average for fatal collisions,All,County,Kitsap County,272342,4.406224526514456,4.406224526514456
2019,69,65,1-year average for fatal collisions,All,County,Pierce County,905841,7.617230838524642,7.17565223918988
2019,42,40,1-year average for fatal collisions,All,County,Snohomish County,814419,5.157050609084513,4.911476770556679
2020,114,108,1-year average for fatal collisions,All,County,King County,2269675,5.022745547269984,4.7583905184663
2020,11,11,1-year average for fatal collisions,All,County,Kitsap County,275611,3.9911324294023096,3.9911324294023096
2020,83,72,1-year average for fatal collisions,All,County,Pierce County,920393,9.017886924389908,7.822745283808112
2020,54,48,1-year average for fatal collisions,All,County,Snohomish County,827957,6.522077837375613,5.797402522111656
2021,166,138,1-year average for fatal collisions,All,County,King County,2287050,7.258258455215234,6.03397389650423
2021,23,17,1-year average for fatal collisions,All,County,Kitsap County,277700,8.282319049333813,6.121714079942383
2021,110,98,1-year average for fatal collisions,All,County,Pierce County,928200,11.85089420383538,10.558069381598793
2021,46,38,1-year average for fatal collisions,All,County,Snohomish County,837800,5.4905705418954405,4.53568870852232
2010,28,22,1-year average for fatal collisions,Unincorporated,County,King County,325000,8.615384615384615,6.769230769230769
2010,10,10,1-year average for fatal collisions,Unincorporated,County,Kitsap County,170022,5.881591794003128,5.881591794003128
2010,22,20,1-year average for fatal collisions,Unincorporated,County,Pierce County,366738,5.9988329543161605,5.453484503923782
2010,15,15,1-year average for fatal collisions,Unincorporated,County,Snohomish County,302292,4.96208963518717,4.96208963518717
2011,16,14,1-year average for fatal collisions,Unincorporated,County,King County,288355,5.548715992439875,4.85512649338489
2011,20,18,1-year average for fatal collisions,Unincorporated,County,Kitsap County,168077,11.899308055236588,10.70937724971293
2011,28,26,1-year average for fatal collisions,Unincorporated,County,Pierce County,374769,7.471268968351171,6.937606899183231
2011,31,29,1-year average for fatal collisions,Unincorporated,County,Snohomish County,306670,10.108585776241563,9.456418951967914
2012,22,18,1-year average for fatal collisions,Unincorporated,County,King County,256892,8.563910125655918,7.006835557354842
2012,25,17,1-year average for fatal collisions,Unincorporated,County,Kitsap County,168875,14.803849000740193,10.066617320503331
2012,28,26,1-year average for fatal collisions,Unincorporated,County,Pierce County,379201,7.383946772292267,6.856522002842819
2012,22,20,1-year average for fatal collisions,Unincorporated,County,Snohomish County,311695,7.0581818765139,6.416528978649
2013,18,16,1-year average for fatal collisions,Unincorporated,County,King County,252217,7.136711641166139,6.3437436810365675
2013,8,6,1-year average for fatal collisions,Unincorporated,County,Kitsap County,169064,4.731935834950078,3.5489518762125587
2013,33,29,1-year average for fatal collisions,Unincorporated,County,Pierce County,382645,8.624181682760783,7.578826327274628
2013,19,16,1-year average for fatal collisions,Unincorporated,County,Snohomish County,318118,5.972626509659937,5.029580218661001
2014,24,20,1-year average for fatal collisions,Unincorporated,County,King County,247002,9.716520514003935,8.097100428336613
2014,13,13,1-year average for fatal collisions,Unincorporated,County,Kitsap County,170520,7.623739150832747,7.623739150832747
2014,27,25,1-year average for fatal collisions,Unincorporated,County,Pierce County,389221,6.936933002073372,6.423086113030901
2014,19,13,1-year average for fatal collisions,Unincorporated,County,Snohomish County,326905,5.812086080053838,3.9766904758263104
2015,51,31,1-year average for fatal collisions,Unincorporated,County,King County,248540,20.51983584131327,12.47284139373944
2015,23,17,1-year average for fatal collisions,Unincorporated,County,Kitsap County,171622,13.401545256435654,9.905489972148093
2015,30,28,1-year average for fatal collisions,Unincorporated,County,Pierce County,393635,7.621273514804324,7.1131886138173686
2015,37,23,1-year average for fatal collisions,Unincorporated,County,Snohomish County,333831,11.083452405558502,6.889713657509339
2016,27,23,1-year average for fatal collisions,Unincorporated,County,King County,239858,11.256660190612779,9.589006829040516
2016,14,13,1-year average for fatal collisions,Unincorporated,County,Kitsap County,173853,8.052780222371775,7.477581635059504
2016,37,36,1-year average for fatal collisions,Unincorporated,County,Pierce County,400061,9.248589590087512,8.998627709274336
2016,27,21,1-year average for fatal collisions,Unincorporated,County,Snohomish County,340615,7.926838219103681,6.1653186148584185
2017,22,22,1-year average for fatal collisions,Unincorporated,County,King County,241557,9.107581233414887,9.107581233414887
2017,12,12,1-year average for fatal collisions,Unincorporated,County,Kitsap County,174677,6.869822586831695,6.869822586831695
2017,34,32,1-year average for fatal collisions,Unincorporated,County,Pierce County,407188,8.349951373812587,7.858777763588318
2017,29,21,1-year average for fatal collisions,Unincorporated,County,Snohomish County,347779,8.33862884187947,6.038317437223064
2018,39,29,1-year average for fatal collisions,Unincorporated,County,King County,243037,16.04693935491304,11.932339520319951
2018,12,12,1-year average for fatal collisions,Unincorporated,County,Kitsap County,176570,6.796171490060599,6.796171490060599
2018,31,23,1-year average for fatal collisions,Unincorporated,County,Pierce County,415697,7.457354755988135,5.53287610928152
2018,33,29,1-year average for fatal collisions,Unincorporated,County,Snohomish County,355035,9.294858253411636,8.168208768149618
2019,18,18,1-year average for fatal collisions,Unincorporated,County,King County,244977,7.347628552884556,7.347628552884556
2019,10,10,1-year average for fatal collisions,Unincorporated,County,Kitsap County,178018,5.617409475446303,5.617409475446303
2019,36,32,1-year average for fatal collisions,Unincorporated,County,Pierce County,423696,8.496657981194064,7.552584872172502
2019,22,20,1-year average for fatal collisions,Unincorporated,County,Snohomish County,362105,6.075585810745502,5.523259827950456
2020,26,26,1-year average for fatal collisions,Unincorporated,County,King County,246266,10.55768965265201,10.55768965265201
2020,10,10,1-year average for fatal collisions,Unincorporated,County,Kitsap County,179719,5.5642419554971925,5.5642419554971925
2020,34,30,1-year average for fatal collisions,Unincorporated,County,Pierce County,430248,7.90241906993176,6.9727227087633175
2020,27,23,1-year average for fatal collisions,Unincorporated,County,Snohomish County,367716,7.342623111314166,6.254827094823178
2021,33,23,1-year average for fatal collisions,Unincorporated,County,King County,247385,13.33953149948461,9.297249226913515
2021,12,12,1-year average for fatal collisions,Unincorporated,County,Kitsap County,180840,6.635700066357001,6.635700066357001
2021,61,55,1-year average for fatal collisions,Unincorporated,County,Pierce County,435135,14.018637893986924,12.63975547818493
2021,29,23,1-year average for fatal collisions,Unincorporated,County,Snohomish County,371300,7.810395906275249,6.194451925666577
2010,75,61,1-year average for fatal collisions,Incorporated,County,King County,1606249,4.669263607323646,3.797667733956566
2010,4,4,1-year average for fatal collisions,Incorporated,County,Kitsap County,81111,4.931513604813158,4.931513604813158
2010,27,25,1-year average for fatal collisions,Incorporated,County,Pierce County,428487,6.301241344544875,5.834482726430441
2010,17,15,1-year average for fatal collisions,Incorporated,County,Snohomish County,411043,4.1358203399644315,3.649253241145087
2011,58,56,1-year average for fatal collisions,Incorporated,County,King County,1657331,3.4996026744204993,3.378926720130137
2011,3,3,1-year average for fatal collisions,Incorporated,County,Kitsap County,82345,3.6432084522436092,3.6432084522436092
2011,13,13,1-year average for fatal collisions,Incorporated,County,Pierce County,431421,3.0132979154932187,3.0132979154932187
2011,14,12,1-year average for fatal collisions,Incorporated,County,Snohomish County,412204,3.3963765514162887,2.911179901213962
2012,78,72,1-year average for fatal collisions,Incorporated,County,King County,1699863,4.588605081703643,4.235635460034133
2012,5,3,1-year average for fatal collisions,Incorporated,County,Kitsap County,84032,5.95011424219345,3.57006854531607
2012,14,14,1-year average for fatal collisions,Incorporated,County,Pierce County,435013,3.2182946256778533,3.2182946256778533
2012,15,15,1-year average for fatal collisions,Incorporated,County,Snohomish County,413850,3.6245016310257343,3.6245016310257343
2013,66,62,1-year average for fatal collisions,Incorporated,County,King County,1731333,3.8120916080268787,3.5810557529949465
2013,1,1,1-year average for fatal collisions,Incorporated,County,Kitsap County,84153,1.18831176547479,1.18831176547479
2013,16,14,1-year average for fatal collisions,Incorporated,County,Pierce County,440387,3.6331680998757907,3.179022087391317
2013,15,15,1-year average for fatal collisions,Incorporated,County,Snohomish County,417170,3.595656447012009,3.595656447012009
2014,72,58,1-year average for fatal collisions,Incorporated,County,King County,1774025,4.058567382083116,3.269401502233621
2014,2,2,1-year average for fatal collisions,Incorporated,County,Kitsap County,85451,2.340522638705223,2.340522638705223
2014,22,22,1-year average for fatal collisions,Incorporated,County,Pierce County,445323,4.940234391666274,4.940234391666274
2014,19,19,1-year average for fatal collisions,Incorporated,County,Snohomish County,419279,4.5315887511656925,4.5315887511656925
2015,75,71,1-year average for fatal collisions,Incorporated,County,King County,1813441,4.135783849598636,3.9152087109533755
2015,1,1,1-year average for fatal collisions,Incorporated,County,Kitsap County,87412,1.1440076877316616,1.1440076877316616
2015,45,39,1-year average for fatal collisions,Incorporated,County,Pierce County,451689,9.962607015003686,8.634259413003194
2015,29,29,1-year average for fatal collisions,Incorporated,County,Snohomish County,426599,6.7979531128764945,6.7979531128764945
2016,76,72,1-year average for fatal collisions,Incorporated,County,King County,1879100,4.044489383215369,3.831621520940876
2016,6,6,1-year average for fatal collisions,Incorporated,County,Kitsap County,89618,6.695083576959986,6.695083576959986
2016,46,35,1-year average for fatal collisions,Incorporated,County,Pierce County,462547,9.944935325491247,7.566798617221601
2016,23,21,1-year average for fatal collisions,Incorporated,County,Snohomish County,433284,5.308296636847888,4.846705624948071
2017,89,87,1-year average for fatal collisions,Incorporated,County,King County,1908353,4.663707395853912,4.558904982463936
2017,3,3,1-year average for fatal collisions,Incorporated,County,Kitsap County,90591,3.311587243765937,3.311587243765937
2017,24,22,1-year average for fatal collisions,Incorporated,County,Pierce County,470732,5.098442425838906,4.673572223685664
2017,21,21,1-year average for fatal collisions,Incorporated,County,Snohomish County,439317,4.780147365114485,4.780147365114485
2018,114,84,1-year average for fatal collisions,Incorporated,County,King County,1944423,5.862921802509022,4.320047643954016
2018,6,6,1-year average for fatal collisions,Incorporated,County,Kitsap County,92710,6.471793765505339,6.471793765505339
2018,41,33,1-year average for fatal collisions,Incorporated,County,Pierce County,475964,8.614096864468742,6.933297476279718
2018,15,13,1-year average for fatal collisions,Incorporated,County,Snohomish County,446188,3.361811613042036,2.9135700646364313
2019,93,89,1-year average for fatal collisions,Incorporated,County,King County,1982778,4.690388939155064,4.488651780481728
2019,2,2,1-year average for fatal collisions,Incorporated,County,Kitsap County,94324,2.1203511301471525,2.1203511301471525
2019,33,33,1-year average for fatal collisions,Incorporated,County,Pierce County,482145,6.844414024826557,6.844414024826557
2019,20,20,1-year average for fatal collisions,Incorporated,County,Snohomish County,452314,4.421707044221493,4.421707044221493
2020,88,82,1-year average for fatal collisions,Incorporated,County,King County,2023409,4.349096005800113,4.052566732677378
2020,1,1,1-year average for fatal collisions,Incorporated,County,Kitsap County,95892,1.0428398615108665,1.0428398615108665
2020,49,42,1-year average for fatal collisions,Incorporated,County,Pierce County,490145,9.99704169174428,8.568892878637955
2020,27,25,1-year average for fatal collisions,Incorporated,County,Snohomish County,460241,5.866491685877617,5.431936746182978
2021,133,115,1-year average for fatal collisions,Incorporated,County,King County,2039665,6.520678640855238,5.63818077968686
2021,11,5,1-year average for fatal collisions,Incorporated,County,Kitsap County,96860,11.356597150526532,5.162089613875697
2021,49,43,1-year average for fatal collisions,Incorporated,County,Pierce County,493065,9.937837810430674,8.720959711194265
2021,17,15,1-year average for fatal collisions,Incorporated,County,Snohomish County,466500,3.6441586280814575,3.215434083601286
2010,3,3,1-year average for fatal collisions,All,City,Auburn,70180,4.274722143060701,4.274722143060701
2010,1,1,1-year average for fatal collisions,All,City,Bainbridge Island,23025,4.3431053203040175,4.3431053203040175
2010,1,1,1-year average for fatal collisions,All,City,Bellevue,122363,0.8172405057084249,0.8172405057084249
2010,1,1,1-year average for fatal collisions,All,City,Bonney Lake,17374,5.755726948313572,5.755726948313572
2010,2,2,1-year average for fatal collisions,All,City,Bremerton,37729,5.300962124625619,5.300962124625619
2010,3,3,1-year average for fatal collisions,All,City,Burien,33313,9.005493350944077,9.005493350944077
2010,1,1,1-year average for fatal collisions,All,City,Des Moines,29673,3.3700670643345805,3.3700670643345805
2010,1,1,1-year average for fatal collisions,All,City,Edmonds,39709,2.518320783701428,2.518320783701428
2010,7,5,1-year average for fatal collisions,All,City,Everett,103019,6.794863083508868,4.853473631077763
2010,3,3,1-year average for fatal collisions,All,City,Federal Way,89306,3.3592367814032653,3.3592367814032653
2010,2,2,1-year average for fatal collisions,All,City,Fife,9173,21.803117845851954,21.803117845851954
2010,17,13,1-year average for fatal collisions,All,City,Kent,92411,18.39607838893638,14.067589356245469
2010,1,1,1-year average for fatal collisions,All,City,Kirkland,48787,2.0497263615307357,2.0497263615307357
2010,3,3,1-year average for fatal collisions,All,City,Lakewood,58163,5.157918264188574,5.157918264188574
2010,2,2,1-year average for fatal collisions,All,City,Lynnwood,35836,5.580980020091528,5.580980020091528
2010,2,2,1-year average for fatal collisions,All,City,Marysville,60020,3.332222592469177,3.332222592469177
2010,1,1,1-year average for fatal collisions,All,City,Mill Creek,18244,5.481254110940584,5.481254110940584
2010,2,2,1-year average for fatal collisions,All,City,Milton,6968,28.702640642939148,28.702640642939148
2010,1,1,1-year average for fatal collisions,All,City,Monroe,17304,5.779010633379565,5.779010633379565
2010,1,1,1-year average for fatal collisions,All,City,Mukilteo,20254,4.937296336526118,4.937296336526118
2010,1,1,1-year average for fatal collisions,All,City,North Bend,5731,17.448961786773687,17.448961786773687
2010,1,1,1-year average for fatal collisions,All,City,Pacific,6606,15.137753557372088,15.137753557372088
2010,1,1,1-year average for fatal collisions,All,City,Port Orchard,11157,8.962982880702697,8.962982880702697
2010,3,3,1-year average for fatal collisions,All,City,Puyallup,37022,8.1032899357139,8.1032899357139
2010,1,1,1-year average for fatal collisions,All,City,Renton,90927,1.0997833426814918,1.0997833426814918
2010,3,3,1-year average for fatal collisions,All,City,SeaTac,26909,11.148686313129437,11.148686313129437
2010,32,24,1-year average for fatal collisions,All,City,Seattle,608660,5.25745079354648,3.9430880951598595
2010,2,2,1-year average for fatal collisions,All,City,Shoreline,53007,3.773086573471428,3.773086573471428
2010,1,1,1-year average for fatal collisions,All,City,Snohomish,9098,10.991426687183996,10.991426687183996
2010,1,1,1-year average for fatal collisions,All,City,Sultan,4651,21.50075252633842,21.50075252633842
2010,2,2,1-year average for fatal collisions,All,City,Sumner,9451,21.161781822029415,21.161781822029415
2010,13,11,1-year average for fatal collisions,All,City,Tacoma,198397,6.552518435258597,5.544438675988044
2010,6,4,1-year average for fatal collisions,All,City,Tukwila,19107,31.402103940964047,20.934735960642698
2010,1,1,1-year average for fatal collisions,All,City,Woodinville,10938,9.1424392027793,9.1424392027793
2011,9,9,1-year average for fatal collisions,All,City,Auburn,71231,12.634948266906262,12.634948266906262
2011,1,1,1-year average for fatal collisions,All,City,Bainbridge Island,22996,4.348582362149939,4.348582362149939
2011,4,4,1-year average for fatal collisions,All,City,Bellevue,124052,3.224454261116306,3.224454261116306
2011,1,1,1-year average for fatal collisions,All,City,Black Diamond,4120,24.271844660194173,24.271844660194173
2011,1,1,1-year average for fatal collisions,All,City,Bonney Lake,17545,5.699629524080935,5.699629524080935
2011,1,1,1-year average for fatal collisions,All,City,Bremerton,38576,2.5922853587722936,2.5922853587722936
2011,1,1,1-year average for fatal collisions,All,City,Buckley,4366,22.904260192395785,22.904260192395785
2011,1,1,1-year average for fatal collisions,All,City,Burien,46013,2.173298850324908,2.173298850324908
2011,1,1,1-year average for fatal collisions,All,City,Edgewood,9419,10.616838305552607,10.616838305552607
2011,1,1,1-year average for fatal collisions,All,City,Edmonds,39824,2.511048613901165,2.511048613901165
2011,1,1,1-year average for fatal collisions,All,City,Enumclaw,10901,9.173470323823503,9.173470323823503
2011,4,4,1-year average for fatal collisions,All,City,Everett,102908,3.886966999650173,3.886966999650173
2011,1,1,1-year average for fatal collisions,All,City,Federal Way,89779,1.1138462223905368,1.1138462223905368
2011,1,1,1-year average for fatal collisions,All,City,Fife,9295,10.758472296933835,10.758472296933835
2011,1,1,1-year average for fatal collisions,All,City,Fircrest,6545,15.278838808250574,15.278838808250574
2011,1,1,1-year average for fatal collisions,All,City,Gold Bar,2079,48.1000481000481,48.1000481000481
2011,6,6,1-year average for fatal collisions,All,City,Kent,116693,5.141696588484313,5.141696588484313
2011,4,4,1-year average for fatal collisions,All,City,Kirkland,49547,8.073142672613882,8.073142672613882
2011,1,1,1-year average for fatal collisions,All,City,Lakewood,58534,1.7084087880548058,1.7084087880548058
2011,3,3,1-year average for fatal collisions,All,City,Lynnwood,35604,8.426019548365351,8.426019548365351
2011,5,3,1-year average for fatal collisions,All,City,Marysville,60672,8.24103375527426,4.9446202531645564
2011,1,1,1-year average for fatal collisions,All,City,Mercer Island,22980,4.351610095735422,4.351610095735422
2011,1,1,1-year average for fatal collisions,All,City,Normandy Park,6361,15.720798616569722,15.720798616569722
2011,1,1,1-year average for fatal collisions,All,City,Port Orchard,11486,8.706251088281386,8.706251088281386
2011,1,1,1-year average for fatal collisions,All,City,Redmond,55488,1.8021914648212225,1.8021914648212225
2011,4,4,1-year average for fatal collisions,All,City,Renton,93179,4.292812758239517,4.292812758239517
2011,21,19,1-year average for fatal collisions,All,City,Seattle,611249,3.4355884426804786,3.108389543377576
2011,1,1,1-year average for fatal collisions,All,City,Shoreline,53390,1.8730099269526128,1.8730099269526128
2011,6,6,1-year average for fatal collisions,All,City,Tacoma,199327,3.0101290843689013,3.0101290843689013
2011,1,1,1-year average for fatal collisions,All,City,Tukwila,19091,5.238070294903357,5.238070294903357
2011,1,1,1-year average for fatal collisions,All,City,University Place,31316,3.193255843658194,3.193255843658194
2011,1,1,1-year average for fatal collisions,All,City,Woodinville,10945,9.136592051164914,9.136592051164914
2012,1,1,1-year average for fatal collisions,All,City,Arlington,17768,5.628095452498874,5.628095452498874
2012,2,2,1-year average for fatal collisions,All,City,Auburn,72249,2.7682044042132072,2.7682044042132072
2012,5,5,1-year average for fatal collisions,All,City,Bellevue,125738,3.9765226105075637,3.9765226105075637
2012,2,2,1-year average for fatal collisions,All,City,Bonney Lake,17818,11.224604332697272,11.224604332697272
2012,1,1,1-year average for fatal collisions,All,City,Bothell,33997,2.9414360090596228,2.9414360090596228
2012,5,3,1-year average for fatal collisions,All,City,Bremerton,39705,12.59287243420224,7.555723460521345
2012,1,1,1-year average for fatal collisions,All,City,Clyde Hill,2991,33.433634236041456,33.433634236041456
2012,1,1,1-year average for fatal collisions,All,City,Covington,17710,5.64652738565782,5.64652738565782
2012,3,3,1-year average for fatal collisions,All,City,Des Moines,29877,10.041168792047396,10.041168792047396
2012,1,1,1-year average for fatal collisions,All,City,Duvall,6912,14.467592592592592,14.467592592592592
2012,1,1,1-year average for fatal collisions,All,City,Enumclaw,11015,9.078529278256923,9.078529278256923
2012,7,7,1-year average for fatal collisions,All,City,Everett,102976,6.797700435052827,6.797700435052827
2012,5,5,1-year average for fatal collisions,All,City,Federal Way,90271,5.538877380332554,5.538877380332554
2012,1,1,1-year average for fatal collisions,All,City,Gig Harbor,7494,13.344008540165465,13.344008540165465
2012,2,2,1-year average for fatal collisions,All,City,Kenmore,21059,9.497127119046489,9.497127119046489
2012,6,6,1-year average for fatal collisions,All,City,Kent,118506,5.06303478304896,5.06303478304896
2012,7,5,1-year average for fatal collisions,All,City,Kirkland,77320,9.053285049146405,6.466632177961718
2012,1,1,1-year average for fatal collisions,All,City,Lake Stevens,28787,3.473790252544551,3.473790252544551
2012,3,3,1-year average for fatal collisions,All,City,Lakewood,58943,5.089662894660943,5.089662894660943
2012,1,1,1-year average for fatal collisions,All,City,Lynnwood,35391,2.825577124127603,2.825577124127603
2012,2,2,1-year average for fatal collisions,All,City,Marysville,61399,3.257382042052802,3.257382042052802
2012,1,1,1-year average for fatal collisions,All,City,Mill Creek,18457,5.417998591320366,5.417998591320366
2012,1,1,1-year average for fatal collisions,All,City,Monroe,17376,5.755064456721915,5.755064456721915
2012,1,1,1-year average for fatal collisions,All,City,Mountlake Terrace,19991,5.00225101295583,5.00225101295583
2012,3,3,1-year average for fatal collisions,All,City,Redmond,55987,5.35838676835694,5.35838676835694
2012,3,3,1-year average for fatal collisions,All,City,Renton,94699,3.167932079536215,3.167932079536215
2012,2,2,1-year average for fatal collisions,All,City,SeaTac,27720,7.215007215007215,7.215007215007215
2012,25,23,1-year average for fatal collisions,All,City,Seattle,614283,4.069785424633271,3.74420259066261
2012,2,2,1-year average for fatal collisions,All,City,Shoreline,53584,3.7324574499850702,3.7324574499850702
2012,1,1,1-year average for fatal collisions,All,City,Sumner,9503,10.52299273913501,10.52299273913501
2012,7,7,1-year average for fatal collisions,All,City,Tacoma,200388,3.4932231470946364,3.4932231470946364
